"4752915",2011,20120724,3311,20110507,1137,"15652","3311","6","5","4","3311","0","0","0","","0","003","INDIAN CANYON DR S","LA PLAZA","60.00","S","N","A","-","N","",,,"","",,"","","","N","4",0,1,3,"A","-","03",22350,"","N","C","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"4752919",2011,20121023,3311,20110521,1233,"15765","","6","5","4","3311","0","0","0","","0","006","EAST RAMON RD","VELLA RD","350.00","W","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","03",22350,"","N","C","C","A","A","H","-","A","A","0","","","","","Y","","B","01",0,0,0,0,0,0,0,0,0,"-","-"
"4752923",2011,20120828,3311,20110407,1047,"15302","","4","5","4","3311","0","0","0","","0","004","TAMARISK RD","SEVILLE CIR","0.00","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,1,"A","-","21",22106,"","N","C","I","A","A","H","-","A","D","0","","","","Y","Y","","G","25",0,0,0,0,0,0,0,0,0,"-","-"
"4756110",2011,20121024,9630,20110510,1139,"13270","","2","1","4","3311","0","1","1","","2","010","RT 10","NORTH INDIAN CANYON DR","2112.00","W","N","A","-","Y","RIV",8,10,"-","-",32.730,"H","-","W","Y","0",0,0,1,"C","-","18",,"","N","E","J","A","A","H","-","A","D","1","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-"
"4756114",2011,20121024,9630,20110510,1113,"13270","","2","1","4","3311","0","1","1","","2","010","RT 10","NORTH INDIAN CANYON DR","528.00","W","N","A","-","Y","RIV",8,10,"-","-",32.730,"H","-","W","Y","0",0,0,1,"C","-","18",,"","N","E","J","A","A","H","-","A","D","1","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-"
"4756175",2011,20120511,9630,20110331,0455,"15876","","4","3","4","3311","0","1","1","","2","010","RT 10","NORTH INDIAN CANYON DR","15.00","W","N","G","-","Y","RIV",8,10,"-","-",33.351,"R","4","W","Y","3",0,1,1,"A","-","01",23152,"A","N","E","I","A","A","D","-","C","A","1","","","","","Y","Y","A","01",0,1,0,0,0,0,0,0,0,"FR","-"
"4756533",2011,20120711,3311,20110514,1604,"15765","DESER","6","5","4","3311","0","0","0","","0","003","E AMADO RD","N CALLE EL SEGUNDO","0.00","","Y","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","12",22450,"A","N","D","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"4756537",2011,20120711,3311,20110507,0224,"15690","","6","5","4","3311","0","0","0","","0","","KIRK DOUGLAS WY","AIRPORT CENTER DR","834.00","N","N","A","-","N","",,,"","",,"","","","Y","3",0,1,1,"A","-","01",23152,"A","N","E","I","A","A","H","-","D","A","0","","","","","Y","Y","-","- ",0,1,0,0,0,0,0,0,0,"-","-"
"4756541",2011,20121115,3311,20110503,0544,"10958","","2","5","4","3311","0","0","0","","0","006","S GENE AUTRY TR","MISSION DR","591.00","S","N","A","-","Y","RIV",8,111,"-","T",49.550,"H","-","S","N","0",0,0,1,"-","-","- ",,"","N","E","I","A","A","H","-","B","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-"
"4756545",2011,20120711,3311,20110506,1607,"15652","3311","5","5","4","3311","0","0","0","","0","006","E PALM CANYON","SOUTHRIDGE","435.00","E","N","A","-","N","",,,"","",,"","","","N","3",0,2,2,"A","-","11",21954,"A","N","G","B","E","A","H","-","A","D","0","Y","","","","Y","","N","60",0,1,1,0,1,0,0,0,0,"-","-"
"4756549",2011,20120711,3311,20110505,2036,"15648","3311","4","5","4","3311","0","0","0","","0","003","PALM CANYON DR","W BARISTO RD","362.00","S","N","A","-","N","",,,"","",,"","","","N","3",0,1,2,"A","-","11",21955,"","N","G","B","D","A","H","-","D","D","0","Y","","","","Y","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-"
"4984911",2011,20120516,3311,20110102,2043,"15763","","7","5","4","3311","0","0","0","","0","002","NORTH INDIAN CANYON DR","E VISTA CHINO","0.00","","Y","A","-","Y","RIV",8,111,"-","T",53.877,"I","5","N","Y","4",0,3,2,"A","-","09",21801,"A","N","-","C","A","A","H","-","C","A","0","","","","","Y","","B","01",0,0,3,0,0,0,0,0,0,"-","-"
"4984931",2011,20120323,3311,20110105,1144,"15161","","3","5","4","3311","0","0","0","","0","002","EAST RAMON RD","LANDAU BL","300.00","W","N","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","03",22350,"","N","C","C","A","A","H","-","A","A","0","","","","","Y","","B","01",0,0,1,0,0,0,0,0,0,"-","-"
"4984939",2011,20120529,3311,20110101,0224,"15627","","6","5","4","3311","0","0","0","","0","001","MOUNTAIN GATE","TIERRA LN","342.00","S","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"D","-","00",,"","M","D","C","A","A","H","-","C","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-"
"4986599",2011,20120516,3311,20110108,1647,"15546","","6","5","4","3311","0","0","0","","0","001","NORTH INDIAN CANYON DR","RT 10","0.00","","Y","-","-","Y","RIV",8,10,"-","-",33.351,"R","4","W","Y","4",0,1,3,"A","-","12",21453,"A","N","B","C","A","A","H","-","B","A","0","","","","Y","Y","","F","25",0,0,1,0,0,0,0,0,0,"-","-"
"4990792",2011,20130326,3311,20110314,1544,"15306","3311","1","5","4","3311","0","0","0","","0","004","VISTA CHINO","VIA ROBERTO MIGUEL","0.00","","Y","A","-","Y","RIV",8,111,"-","T",51.842,"I","5","S","N","1",1,4,2,"A","-","09",21801,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","Y","A","01",0,4,0,0,0,0,0,0,0,"-","-"
"5045901",2011,20120427,3311,20110215,0503,"10992","3311","2","5","4","3311","0","0","0","","0","001","NORTH INDIAN CANYON DR","19TH AV","662.00","S","N","A","-","N","",,,"","",,"","","","Y","3",0,1,2,"A","-","- ",,"","N","C","E","A","A","H","-","C","D","0","","","","Y","Y","","A","08",0,1,0,0,0,0,0,0,0,"-","-"
"5051428",2011,20120412,3311,20110124,1357,"15306","3311","1","5","4","3311","0","0","0","","0","BIKE","LA PLAZA","S PALM CANYON","0.00","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","01",23152,"A","N","C","E","A","A","H","-","A","A","0","","","","","Y","Y","D","72",0,0,0,0,0,0,0,0,0,"-","-"
"5059483",2011,20120308,3311,20110108,1530,"15652","","6","5","4","3311","0","0","0","","0","006","CROSSLEY RD","DINAH SHORE DR","0.00","","Y","A","-","N","",,,"","",,"","","","Y","3",0,1,2,"A","-","09",21801,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,1,0,0,0,0,0,0,0,"-","-"
"5059487",2011,20120308,3311,20110111,0045,"10958","","2","5","4","3311","0","0","0","","0","001","NORTH PALM CANYON DR","GRANVIA VALMONTE","177.00","N","N","A","-","N","",,,"","",,"","","","Y","3",0,1,1,"A","-","07",21658,"A","N","E","I","A","A","H","-","C","D","0","","","","","Y","","A","01",0,1,0,0,0,0,0,0,0,"-","-"
"5059491",2011,20120329,3311,20110112,0302,"15477","3311","3","5","4","3311","0","0","0","","0","004","E VIA ESCUELA","NORLOTI ST","90.00","W","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","N","C","C","A","A","H","-","C","D","0","","","","","Y","Y","A","08",0,0,0,0,0,0,0,0,0,"-","-"
"5059569",2011,20120518,3311,20110107,1130,"15789","3311","5","5","4","3311","0","0","0","","0","004","COMMERCIAL RD","COMMERCIAL DRIVEWAY OF UPS","0.00","","-","A","-","N","",,,"","",,"","","","N","0",0,0,2,"D","-","00",,"","M","C","C","A","A","H","-","A","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-"
"5059573",2011,20120313,3311,20110106,0759,"15652","","4","5","4","3311","0","0","0","","0","006","FARRELL DR","BARISTO RD","524.00","N","N","A","-","N","",,,"","",,"","","","N","4",0,13,2,"A","-","07",21658,"A","N","B","C","A","A","H","-","A","D","0","","","","","Y","","A","07",0,0,13,0,0,0,0,0,0,"-","-"
"5059577",2011,20120522,3311,20110106,1624,"10296","DESER","4","5","4","3311","0","0","0","","0","006","RAMON RD","GENE AUTRY TR","7.00","E","N","A","-","Y","RIV",8,111,"-","T",49.370,"I","5","S","Y","0",0,0,3,"A","-","01",23152,"A","M","D","C","A","A","H","-","B","A","0","","","","","Y","Y","D","22",0,0,0,0,0,0,0,0,0,"-","-"
